	1	240	0.63	2.05	0.13
	2	360	2.18	5.31	0.31
	3	420	2.26	5.61	0.34
	4	500	1.71	6.44	0.70
	5	580	2.38	7.99	1.73
	6	700	3.83	8.32	4.26
	7	600	3.79	9.46	1.53
	8	650	4.09	14.71	3.11
	9	770	4.21	12.00	1.90
	10	930	4.72	12.78	2.92
	11	1020	6.24	16.31	2.29
	12	1000	5.24	14.51	1.88
	13	1000	4.73	15.79	4.64
	14	1040	4.67	10.30	4.17
	15	1150	5.08	13.11	3.97
	16	1000	5.27	13.40	4.36
	17	960	5.61	10.31	2.05
	18	420	2.33	6.83	0.47
	19	370	2.64	9.88	0.58
	20	400	2.29	6.02	0.34
	21	480	2.32	6.14	0.32
	22	730	5.94	12.86	1.35
